Город,Федеральный округ,lat,lng
Грязи,Центральный,"52,496186","39,95533"
Данков,Центральный,"53,246197","39,134414"
Елец,Центральный,"52,62419","38,503653"
Задонск,Центральный,"52,391972","38,919456"
Лебедянь,Центральный,"53,020489","39,13135"
Липецк,Центральный,"52,60882","39,59922"
Усмань,Центральный,"52,043386","39,736069"
Чаплыгин,Центральный,"53,240555","39,96699"
