Город,Федеральный округ,lat,lng
Асино,Сибирский,"56,997514","86,153906"
Кедровый,Сибирский,"57,560963","79,566965"
Колпашево,Сибирский,"58,311384","82,902679"
Северск,Сибирский,"56,603185","84,880913"
Стрежевой,Сибирский,"60,732862","77,604002"
Томск,Сибирский,"56,48464","84,947649"
