Город,Федеральный округ,lat,lng
Исилькуль,Сибирский,"54,911844","71,266945"
Калачинск,Сибирский,"55,052608","74,581782"
Называевск,Сибирский,"55,567066","71,348718"
Омск,Сибирский,"54,989342","73,368212"
Тюкалинск,Сибирский,"55,870506","72,195506"
